DATE,CAPUTLG3361T3S
1989-12-01,76.3559
1990-01-01,62.1974
1990-02-01,73.9761
1990-03-01,77.5804
1990-04-01,75.2135
1990-05-01,76.8340
1990-06-01,78.5221
1990-07-01,75.6243
1990-08-01,74.7824
1990-09-01,75.3640
1990-10-01,71.9575
1990-11-01,61.5906
1990-12-01,58.9856
1991-01-01,60.4933
1991-02-01,56.5191
1991-03-01,57.1983
1991-04-01,59.8120
1991-05-01,62.5145
1991-06-01,65.0125
1991-07-01,69.0045
1991-08-01,63.9848
1991-09-01,69.8098
1991-10-01,68.8270
1991-11-01,67.7190
1991-12-01,67.2102
1992-01-01,61.5845
1992-02-01,66.6271
1992-03-01,69.0972
1992-04-01,71.0223
1992-05-01,74.3023
1992-06-01,72.8846
1992-07-01,76.5599
1992-08-01,74.6837
1992-09-01,73.5354
1992-10-01,75.6107
1992-11-01,75.7654
1992-12-01,77.3933
1993-01-01,78.9337
1993-02-01,78.0356
1993-03-01,78.7345
1993-04-01,79.0070
1993-05-01,78.9712
1993-06-01,78.0384
1993-07-01,75.7589
1993-08-01,74.1397
1993-09-01,76.7320
1993-10-01,80.9539
1993-11-01,82.0831
1993-12-01,82.7909
1994-01-01,84.5791
1994-02-01,85.9090
1994-03-01,84.7846
1994-04-01,85.8824
1994-05-01,85.1163
1994-06-01,85.6836
1994-07-01,85.5184
1994-08-01,87.5104
1994-09-01,86.8382
1994-10-01,87.2397
1994-11-01,86.8193
1994-12-01,87.0852
1995-01-01,87.5584
1995-02-01,87.5572
1995-03-01,86.9549
1995-04-01,85.2261
1995-05-01,83.1094
1995-06-01,83.1094
1995-07-01,79.6412
1995-08-01,82.4210
1995-09-01,83.1460
1995-10-01,80.8600
1995-11-01,80.0474
1995-12-01,81.2273
1996-01-01,77.6141
1996-02-01,80.7407
1996-03-01,72.1535
1996-04-01,82.4696
1996-05-01,82.1346
1996-06-01,83.2564
1996-07-01,84.4100
1996-08-01,81.5953
1996-09-01,82.0992
1996-10-01,77.6054
1996-11-01,80.1228
1996-12-01,81.6179
1997-01-01,82.1489
1997-02-01,82.8574
1997-03-01,83.5802
1997-04-01,78.5441
1997-05-01,79.1538
1997-06-01,81.2337
1997-07-01,79.9653
1997-08-01,81.5862
1997-09-01,81.7356
1997-10-01,82.3396
1997-11-01,84.7028
1997-12-01,83.4603
1998-01-01,82.1048
1998-02-01,81.0386
1998-03-01,80.4425
1998-04-01,80.3130
1998-05-01,80.2506
1998-06-01,71.6726
1998-07-01,61.9710
1998-08-01,81.3065
1998-09-01,81.7749
1998-10-01,83.6640
1998-11-01,82.5970
1998-12-01,83.1321
1999-01-01,82.3194
1999-02-01,82.7535
1999-03-01,82.2867
1999-04-01,82.6179
1999-05-01,83.2020
1999-06-01,82.6575
1999-07-01,82.3877
1999-08-01,85.0728
1999-09-01,83.0887
1999-10-01,85.8149
1999-11-01,85.0721
1999-12-01,84.3231
2000-01-01,86.0002
2000-02-01,84.9765
2000-03-01,84.8722
2000-04-01,85.6837
2000-05-01,85.4945
2000-06-01,84.0187
2000-07-01,80.5567
2000-08-01,81.0041
2000-09-01,80.4871
2000-10-01,79.2125
2000-11-01,75.4408
2000-12-01,72.7480
2001-01-01,69.1542
2001-02-01,70.5645
2001-03-01,73.9686
2001-04-01,73.9680
2001-05-01,75.3795
2001-06-01,73.7466
2001-07-01,74.2915
2001-08-01,73.5915
2001-09-01,71.3114
2001-10-01,69.8690
2001-11-01,72.5714
2001-12-01,75.1351
2002-01-01,74.5533
2002-02-01,74.9173
2002-03-01,75.8822
2002-04-01,78.1346
2002-05-01,78.4058
2002-06-01,79.7406
2002-07-01,81.6775
2002-08-01,80.5942
2002-09-01,80.3002
2002-10-01,79.2224
2002-11-01,82.1220
2002-12-01,78.9589
2003-01-01,82.3861
2003-02-01,79.3895
2003-03-01,78.7313
2003-04-01,77.4811
2003-05-01,76.5287
2003-06-01,76.9698
2003-07-01,79.6299
2003-08-01,75.8933
2003-09-01,79.6895
2003-10-01,78.3318
2003-11-01,78.9171
2003-12-01,78.5399
2004-01-01,79.0254
2004-02-01,79.2031
2004-03-01,78.5223
2004-04-01,77.9602
2004-05-01,77.1168
2004-06-01,74.5922
2004-07-01,74.0264
2004-08-01,76.1170
2004-09-01,75.7958
2004-10-01,77.8248
2004-11-01,76.1792
2004-12-01,77.7593
2005-01-01,77.5782
2005-02-01,80.4732
2005-03-01,77.1559
2005-04-01,76.7727
2005-05-01,76.5622
2005-06-01,77.2602
2005-07-01,73.8710
2005-08-01,77.5156
2005-09-01,79.1913
2005-10-01,79.5802
2005-11-01,76.9179
2005-12-01,74.8725
2006-01-01,76.5610
2006-02-01,73.9890
2006-03-01,74.9525
2006-04-01,75.0163
2006-05-01,73.5171
2006-06-01,73.7158
2006-07-01,68.3913
2006-08-01,71.7492
2006-09-01,69.6617
2006-10-01,68.4298
2006-11-01,69.6041
2006-12-01,71.8394
2007-01-01,68.5013
2007-02-01,71.1647
2007-03-01,71.8806
2007-04-01,74.2004
2007-05-01,73.8078
2007-06-01,75.0749
2007-07-01,73.2935
2007-08-01,73.6965
2007-09-01,70.5960
2007-10-01,69.7741
2007-11-01,70.2375
2007-12-01,70.2483
2008-01-01,67.8300
2008-02-01,67.9534
2008-03-01,63.4222
2008-04-01,60.4291
2008-05-01,59.5420
2008-06-01,61.0846
2008-07-01,59.1299
2008-08-01,53.6536
2008-09-01,53.8670
2008-10-01,51.8050
2008-11-01,49.9629
2008-12-01,46.9862
2009-01-01,33.6810
2009-02-01,38.0454
2009-03-01,38.8194
2009-04-01,39.4406
