DATE,CAPUTLGMFDS
2016-12-01,73.4677
2017-01-01,74.0303
2017-02-01,73.8127
2017-03-01,73.5895
2017-04-01,74.5499
2017-05-01,74.0717
2017-06-01,74.0021
2017-07-01,73.6152
2017-08-01,73.6862
2017-09-01,74.3253
2017-10-01,74.6685
2017-11-01,74.8649
2017-12-01,74.7016
2018-01-01,74.7194
2018-02-01,75.5833
2018-03-01,75.7455
2018-04-01,75.9873
2018-05-01,74.9580
2018-06-01,75.8672
2018-07-01,75.9210
2018-08-01,76.6752
2018-09-01,76.8348
2018-10-01,76.8525
2018-11-01,76.9712
2018-12-01,77.4887
2019-01-01,76.5911
2019-02-01,76.1692
2019-03-01,76.1180
2019-04-01,75.3523
2019-05-01,75.5160
2019-06-01,75.7490
2019-07-01,75.6375
2019-08-01,75.8801
2019-09-01,75.0175
2019-10-01,74.0538
2019-11-01,75.4795
2019-12-01,75.1890
2020-01-01,74.7420
2020-02-01,74.8639
2020-03-01,69.0548
2020-04-01,53.8942
2020-05-01,57.5568
2020-06-01,64.8126
2020-07-01,69.4736
2020-08-01,70.2192
2020-09-01,70.3429
2020-10-01,71.0603
2020-11-01,72.1329
