DATE,CAPUTLHITEK2S
2015-11-01,74.0436
2015-12-01,74.6151
2016-01-01,75.1067
2016-02-01,74.8971
2016-03-01,74.5269
2016-04-01,73.8114
2016-05-01,73.5121
2016-06-01,72.9229
2016-07-01,72.8197
2016-08-01,72.3973
2016-09-01,72.8815
2016-10-01,73.1978
2016-11-01,72.9533
2016-12-01,72.4453
2017-01-01,71.4629
2017-02-01,70.4531
2017-03-01,70.1077
2017-04-01,70.8474
2017-05-01,70.5678
2017-06-01,70.3795
2017-07-01,69.3662
2017-08-01,69.2697
2017-09-01,69.9133
2017-10-01,70.7960
2017-11-01,71.3696
2017-12-01,72.2518
2018-01-01,72.2923
2018-02-01,72.1020
2018-03-01,72.1850
2018-04-01,72.3900
2018-05-01,72.3026
2018-06-01,73.6774
2018-07-01,74.3736
2018-08-01,75.2488
2018-09-01,74.7931
2018-10-01,74.0699
2018-11-01,72.9206
2018-12-01,72.5240
2019-01-01,73.2749
2019-02-01,73.5168
2019-03-01,73.6787
2019-04-01,72.4021
2019-05-01,71.6984
2019-06-01,72.1465
2019-07-01,72.3326
2019-08-01,73.0736
2019-09-01,72.6627
2019-10-01,72.5076
2019-11-01,73.4375
2019-12-01,73.1856
2020-01-01,72.5092
2020-02-01,71.1240
2020-03-01,71.7486
2020-04-01,69.8326
2020-05-01,69.0255
2020-06-01,70.2974
2020-07-01,71.6139
2020-08-01,71.7300
2020-09-01,72.3788
2020-10-01,73.3720
2020-11-01,73.5749
