DATE,IPG3361T3S
2004-04-01,109.8925
2004-05-01,108.6492
2004-06-01,104.9859
2004-07-01,104.0424
2004-08-01,106.8053
2004-09-01,106.1714
2004-10-01,108.8330
2004-11-01,106.3763
2004-12-01,108.4567
2005-01-01,108.1200
2005-02-01,112.1223
2005-03-01,107.5278
2005-04-01,107.0839
2005-05-01,106.9489
2005-06-01,108.1577
2005-07-01,103.7070
2005-08-01,109.2038
2005-09-01,112.0214
2005-10-01,113.0934
2005-11-01,109.8685
2005-12-01,107.5296
2006-01-01,110.5808
2006-02-01,107.4914
2006-03-01,109.5305
2006-04-01,110.2501
2006-05-01,108.6312
2006-06-01,109.4633
2006-07-01,101.9924
2006-08-01,107.3758
2006-09-01,104.5299
2006-10-01,102.8606
2006-11-01,104.7049
2006-12-01,108.0460
2007-01-01,102.9109
2007-02-01,106.7013
2007-03-01,107.4838
2007-04-01,110.5918
2007-05-01,109.6138
2007-06-01,111.0847
2007-07-01,108.0635
2007-08-01,108.3116
2007-09-01,103.4796
2007-10-01,102.0692
2007-11-01,102.6127
2007-12-01,102.5655
2008-01-01,99.0393
2008-02-01,99.2843
2008-03-01,92.7690
2008-04-01,88.5200
2008-05-01,87.3586
2008-06-01,89.7571
2008-07-01,86.9944
2008-08-01,79.0007
2008-09-01,79.3297
2008-10-01,76.2514
2008-11-01,73.4397
2008-12-01,68.9149
2009-01-01,49.2555
2009-02-01,55.4330
2009-03-01,56.3176
2009-04-01,56.9476
2009-05-01,51.0786
2009-06-01,49.3433
2009-07-01,64.1240
2009-08-01,66.3980
2009-09-01,73.6587
2009-10-01,73.1398
2009-11-01,75.7701
2009-12-01,76.5732
2010-01-01,78.1272
2010-02-01,75.3675
2010-03-01,77.5224
2010-04-01,77.4029
2010-05-01,83.7005
2010-06-01,83.2370
2010-07-01,89.2573
2010-08-01,85.4216
2010-09-01,86.6443
2010-10-01,87.6729
2010-11-01,84.3944
2010-12-01,83.9752
2011-01-01,85.9738
2011-02-01,89.6845
2011-03-01,92.7344
2011-04-01,85.3426
2011-05-01,86.7404
2011-06-01,86.7025
2011-07-01,89.5547
2011-08-01,91.4052
2011-09-01,91.7221
2011-10-01,95.9310
2011-11-01,93.5950
2011-12-01,95.7724
2012-01-01,100.7715
2012-02-01,99.6120
2012-03-01,99.0483
2012-04-01,100.6106
2012-05-01,99.3622
2012-06-01,100.7497
2012-07-01,100.4377
